za_nr,doi,version,year,rgs_land,gkz,entity,level,election_dummy,election_last,east,name,inh_sqkm2,rat,rat_women,rat_cdu_seats,rat_spd_seats,rat_green_seats,rat_fdp_seats,rat_pds_seats,rat_others_seats,rat_group_seats
5990,doi:10.4232/1.13024,1.0.1 (2018-01-24),2016,6,438008,,4,1,2011,0,Mühlheim am Main,,45,14,12,18,5,10,0,0,0
5990,doi:10.4232/1.13025,1.0.1 (2018-01-24),2011,6,439001,1876,4,1,2006,0,Aarbergen,194,31,7,12,11,5,0,0,0,3
5990,doi:10.4232/1.13026,1.0.1 (2018-01-24),2016,6,439001,1876,4,1,2011,0,Aarbergen,194,31,5,13,9,4,0,0,0,5
5990,doi:10.4232/1.13027,1.0.1 (2018-01-24),2011,6,439007,1877,4,1,2006,0,Hünstetten,198,31,8,8,11,4,0,0,0,8
5990,doi:10.4232/1.13028,1.0.1 (2018-01-24),2016,6,439007,1877,4,1,2011,0,Hünstetten,198,31,12,7,8,3,0,0,0,13
5990,doi:10.4232/1.13029,1.0.1 (2018-01-24),2016,6,439008,,4,1,2011,0,Idstein,,37,7,13,10,5,3,0,0,6
5990,doi:10.4232/1.13030,1.0.1 (2018-01-24),2011,6,439013,1878,4,1,2006,0,Rüdesheim am Rhein,193,31,3,13,6,0,1,0,0,11
5990,doi:10.4232/1.13031,1.0.1 (2018-01-24),2016,6,439013,1878,4,1,2011,0,Rüdesheim am Rhein,193,31,6,13,4,0,1,0,0,13
5990,doi:10.4232/1.13032,1.0.1 (2018-01-24),2016,6,440001,,4,1,2011,0,Altenstadt,,37,14,9,10,5,3,0,4,6
5990,doi:10.4232/1.13033,1.0.1 (2018-01-24),2016,6,440003,,4,1,2011,0,Bad Vilbel,,45,14,22,10,7,3,0,0,3
5990,doi:10.4232/1.13034,1.0.1 (2018-01-24),2011,6,440011,1879,4,1,2006,0,Hirzenhain,189,15,5,5,7,0,0,0,0,3
5990,doi:10.4232/1.13035,1.0.1 (2018-01-24),2016,6,440011,1879,4,1,2011,0,Hirzenhain,189,15,5,5,6,0,0,0,0,4
5990,doi:10.4232/1.13036,1.0.1 (2018-01-24),2016,6,440012,,4,1,2011,0,Karben,,37,13,21,8,3,1,1,0,3
5990,doi:10.4232/1.13037,1.0.1 (2018-01-24),2011,6,440015,1880,4,1,2006,0,Münzenberg,178,25,5,10,12,0,0,0,0,3
5990,doi:10.4232/1.13038,1.0.1 (2018-01-24),2016,6,440015,1880,4,1,2011,0,Münzenberg,178,23,3,9,10,0,0,0,0,4
5990,doi:10.4232/1.13039,1.0.1 (2018-01-24),2016,6,531008,,4,1,2011,0,Hungen,,37,9,9,10,4,0,0,0,14
5990,doi:10.4232/1.13040,1.0.1 (2018-01-24),2016,6,531009,,4,1,2011,0,Langgöns,,37,12,12,12,5,2,0,0,6
5990,doi:10.4232/1.13041,1.0.1 (2018-01-24),2016,6,531013,,4,1,2011,0,Lollar,,31,10,9,13,5,4,0,0,0
5990,doi:10.4232/1.13042,1.0.1 (2018-01-24),2016,6,532012,,4,1,2011,0,Herborn,,37,10,9,11,5,2,0,0,10
5990,doi:10.4232/1.13043,1.0.1 (2018-01-24),2011,6,532013,1881,4,1,2006,0,Hohenahr,111,23,4,8,11,4,0,0,0,10
5990,doi:10.4232/1.13044,1.0.1 (2018-01-24),2016,6,532013,1881,4,1,2011,0,Hohenahr,111,19,1,7,9,3,0,0,0,0
5990,doi:10.4232/1.13046,1.0.1 (2018-01-24),2011,6,532015,1882,4,1,2006,0,Lahnau,351,27,5,7,10,6,0,0,0,4
